party,color,leftmost
PSOE,#ad1f15,3
PP,#1E4B8F,7
VOX,#63BE21,8
SUMAR,#f25783,2
ERC,#FFB232,4
others,#B8B8B8,5
PODEMOS.IU.SUMAR,#623279,1
CS,#EB6109,6
